rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/total_steps_eval,metrics/return_eval_total,metrics/success_rate_eval,z/time_cost,z/fps
603.1149,603.1089,-1.556,1.6072,0.9958,,,,,,,,
,,,,,2523,68,16,31.55,-106.5049,0.0,12,194.572
908.5295,908.4506,-1.0758,1.5817,0.9879,,,,,,,,
665.1764,665.22,0.0443,1.5188,0.9804,,,,,,,,
616.5843,616.6481,0.024,1.5396,0.9733,,,,,,,,
707.7727,708.0606,-0.3473,1.597,0.9659,,,,,,,,
683.1812,683.691,0.7834,1.5303,0.9582,,,,,,,,
830.811,831.7205,0.5125,1.5213,0.951,,,,,,,,
686.3191,687.2072,1.0249,1.5346,0.9443,,,,,,,,
594.819,596.0118,0.9177,1.5934,0.9372,,,,,,,,
707.661,709.6751,1.51,1.5643,0.9295,,,,,,,,
550.5923,552.4683,1.1171,1.4736,0.9226,,,,,,,,
,,,,,3005,78,176,40.5,-150.2591,0.0,19,75.1607
596.1175,597.5773,1.5925,1.533,0.9164,,,,,,,,
619.4082,621.4889,1.0297,1.4573,0.91,,,,,,,,
672.3734,674.7031,2.4029,1.329,0.9048,,,,,,,,
643.3191,645.3444,1.9503,1.2918,0.901,,,,,,,,
610.0356,613.8087,2.0369,1.2485,0.8982,,,,,,,,
686.8576,688.1184,2.8807,1.2777,0.8958,,,,,,,,
535.0064,537.7181,2.8737,1.3036,0.8928,,,,,,,,
562.8637,566.7631,2.4778,1.3676,0.8892,,,,,,,,
605.9382,610.5041,2.935,1.2973,0.8859,,,,,,,,
471.9375,473.9371,2.1431,1.3505,0.8823,,,,,,,,
504.1628,505.2499,4.4783,1.4434,0.8774,,,,,,,,
476.3457,477.9907,3.5867,1.4205,0.8719,,,,,,,,
555.5158,558.4248,4.0155,1.4164,0.8663,,,,,,,,
,,,,,3532,91,384,24.8,-133.641,0.0,25,89.5059
528.275,533.5687,4.9693,1.2962,0.8612,,,,,,,,
467.7505,469.7782,4.3758,1.3718,0.8573,,,,,,,,
519.7407,522.9297,5.0754,1.3726,0.8529,,,,,,,,
516.4133,518.1486,4.5706,1.32,0.8484,,,,,,,,
544.6204,547.4998,5.4269,1.3321,0.8444,,,,,,,,
506.2067,510.8894,5.4332,1.4166,0.8402,,,,,,,,
465.8465,468.0305,4.8418,1.3349,0.8355,,,,,,,,
422.4626,424.0591,4.8779,1.3353,0.8311,,,,,,,,
398.0243,402.1271,4.4791,1.357,0.827,,,,,,,,
459.9091,464.7682,5.6684,1.3755,0.8226,,,,,,,,
483.5693,484.5797,5.697,1.3126,0.8181,,,,,,,,
,,,,,4033,102,560,40.75,-112.9594,0.0,32,69.8507
376.7602,377.428,5.5706,1.254,0.8144,,,,,,,,
392.5139,396.7208,5.4,1.151,0.8122,,,,,,,,
458.6804,460.7302,6.3021,1.2435,0.811,,,,,,,,
376.1632,379.3301,5.7099,1.1533,0.8091,,,,,,,,
312.9051,315.9411,4.9826,1.1931,0.808,,,,,,,,
368.5854,367.5702,5.9513,1.1667,0.8074,,,,,,,,
429.7359,431.3197,5.8329,1.2229,0.8063,,,,,,,,
399.043,404.3396,5.4832,1.3441,0.8039,,,,,,,,
449.2077,450.8355,7.0309,1.3211,0.7997,,,,,,,,
327.8826,328.823,5.4065,1.2195,0.7959,,,,,,,,
452.9577,458.7138,7.3057,1.0546,0.7946,,,,,,,,
426.9282,426.9092,7.3418,1.1503,0.795,,,,,,,,
438.8046,441.4021,7.4734,1.3496,0.794,,,,,,,,
,,,,,4509,115,768,26.9,-112.9527,0.0,38,76.9153
398.2422,402.1896,7.0697,1.3234,0.7899,,,,,,,,
334.9119,336.9027,7.3061,1.2392,0.7861,,,,,,,,
334.2916,336.4351,7.158,1.2108,0.7836,,,,,,,,
408.6669,408.7356,7.8284,1.2312,0.7814,,,,,,,,
383.9336,386.4465,7.0657,1.155,0.7794,,,,,,,,
364.5101,367.254,7.4589,1.1771,0.7784,,,,,,,,
335.1606,336.0935,7.6584,1.19,0.7774,,,,,,,,
355.3545,356.6697,8.05,1.1506,0.7762,,,,,,,,
292.0672,295.2094,7.2519,1.2209,0.7751,,,,,,,,
346.5032,348.1818,8.5806,1.2054,0.7732,,,,,,,,
305.7173,309.9689,7.5426,1.2324,0.7715,,,,,,,,
312.9642,313.815,7.6371,1.1712,0.7693,,,,,,,,
332.3556,334.195,8.1551,1.1471,0.7681,,,,,,,,
296.7437,298.3531,8.0114,1.2148,0.7672,,,,,,,,
424.8994,428.8118,8.9872,1.2048,0.7653,,,,,,,,
,,,,,5022,130,1008,27.55,-119.6516,0.0,45,79.2053
336.569,338.5674,8.7788,1.1087,0.7637,,,,,,,,
321.9832,325.0502,8.2008,1.1536,0.7639,,,,,,,,
