trained,evaluated,crashrate,mergerate,ego speed,road speed
3, 3, 0.026, 0.966, 21.371320288516163, 20.991874555502232
5, 3, 0.026, 0.967, 22.169243860722023, 21.068831456849345
12, 3, 0.018, 0.98, 22.944419682621625, 21.20377673036641
20, 3, 0.028, 0.97, 21.220249073477223, 21.096086235832576
30, 3, 0.022, 0.977, 20.31924388651091, 21.069400370864475
3, 5, 0.029, 0.963, 21.318256900432996, 20.959506760811617
5, 5, 0.018, 0.975, 22.213011873952244, 21.1232586484105
12, 5, 0.02, 0.978, 22.97606832747947, 21.18363844089421
20, 5, 0.027, 0.972, 21.195315979536343, 21.08707497422067
30, 5, 0.024, 0.975, 20.350612470354864, 21.082252355279454
3, 12, 0.043, 0.942, 21.281270242209906, 21.065392314413597
5, 12, 0.026, 0.965, 22.41518663785934, 21.131841051587074
12, 12, 0.029, 0.968, 23.027605389134056, 21.218655088191973
20, 12, 0.063, 0.936, 21.134876643329672, 21.001621259429445
30, 12, 0.027, 0.973, 20.519410180525846, 21.125830478936365
3, 15, 0.034, 0.954, 21.30241471954069, 21.041980112035073
5, 15, 0.035, 0.945, 22.277481665245247, 21.126142592754142
12, 15, 0.034, 0.963, 22.85156962375056, 21.108421876985688
20, 15, 0.038, 0.961, 21.066125867021018, 21.10792545185149
30, 15, 0.041, 0.958, 20.466986007814132, 21.090199302902423
3, 20, 0.06, 0.932, 21.34278179978506, 21.043174369061347
5, 20, 0.045, 0.939, 22.341854132117515, 21.09203723541081
12, 20, 0.025, 0.973, 22.977993293584888, 21.192705165712177
20, 20, 0.061, 0.935, 21.047422972152546, 21.095422421708424
30, 20, 0.044, 0.952, 20.174231315737348, 21.035461537051454
3, 30, 0.069, 0.915, 21.17953800454492, 20.97048793352909
5, 30, 0.056, 0.898, 22.367348065799867, 21.22077877616649
12, 30, 0.037, 0.95, 22.765685058002823, 21.155116121899756
20, 30, 0.065, 0.933, 21.124730350134953, 21.1144997005074
30, 30, 0.05, 0.947, 20.39556413353345, 21.05967987327152
3, 40, 0.106, 0.853, 20.77114488289928, 20.95322136859317
5, 40, 0.073, 0.885, 22.34643222485932, 21.171979808431466
12, 40, 0.054, 0.93, 22.937687411127087, 21.215783406382048
20, 40, 0.091, 0.906, 20.808975353053192, 21.059788837717793
30, 40, 0.08, 0.917, 20.257578080209676, 21.068768125074897
3, 50, 0.128, 0.811, 20.34085695365811, 20.88156236231346
5, 50, 0.103, 0.835, 22.196810894296018, 21.147792336009502
12, 50, 0.076, 0.895, 22.89823974205376, 21.25780092112809
20, 50, 0.1, 0.882, 20.497899650690528, 20.960451299243662
30, 50, 0.102, 0.891, 20.082276882980278, 21.097391771506732
No Interference, 3, 0.039, 0.937, 17.066846174384178, 20.580787668188073
No Interference, 5, 0.042, 0.928, 16.7935697010206, 20.568361547145024
No Interference, 12, 0.053, 0.891, 15.853059665741453, 20.48601390889189
No Interference, 15, 0.075, 0.858, 15.003616398413756, 20.459850354477
No Interference, 20, 0.086, 0.819, 14.378114724730954, 20.39855341217778
No Interference, 30, 0.154, 0.672, 12.855177240417119, 20.203810369548684
No Interference, 40, 0.25, 0.56, 11.589902875382826, 20.036824977184953
No Interference, 50, 0.322, 0.501, 10.597400743708802, 19.995998138658564
