seed,trained,evaluated,crashrate,mergerate,ego speed,road speed
21, No Interference, 3, 0.04666666666666667, 0.9333333333333333, 17.010657508279877, 20.632167293822995
21, 3, 3, 0.023333333333333334, 0.97, 21.323241757407104, 20.971302901986835
21, 5, 3, 0.03666666666666667, 0.96, 22.229907016606113, 21.149230377820977
21, 12, 3, 0.023333333333333334, 0.9733333333333334, 23.058083126860254, 21.21805046983827
21, 20, 3, 0.03333333333333333, 0.9633333333333334, 21.198206696011024, 21.093382198891867
21, 30, 3, 0.04, 0.96, 20.436403677113837, 21.04275752912904
42, No Interference, 3, 0.016666666666666666, 0.9666666666666667, 16.9482745441645, 20.519672448071056
42, 3, 3, 0.013333333333333334, 0.98, 21.442767358910913, 21.183329406714897
42, 5, 3, 0.02, 0.9633333333333334, 22.108703072538724, 21.123393803022847
42, 12, 3, 0.02666666666666667, 0.9666666666666667, 22.784901180923864, 21.151069025207743
42, 20, 3, 0.03666666666666667, 0.96, 21.074074728700932, 21.137717268528863
42, 30, 3, 0.016666666666666666, 0.98, 20.210486049772673, 20.992380160294335
112, No Interference, 3, 0.04, 0.9333333333333333, 17.306966233036235, 20.678687615398935
112, 3, 3, 0.023333333333333334, 0.9666666666666667, 21.364711847201747, 21.03265915025337
112, 5, 3, 0.02, 0.9766666666666667, 21.913022676781416, 21.069627794056206
112, 12, 3, 0.02, 0.98, 22.97232592845552, 21.20878719287803
112, 20, 3, 0.023333333333333334, 0.9733333333333334, 21.019032308930488, 21.07342370813113
112, 30, 3, 0.03333333333333333, 0.9666666666666667, 20.651481691010357, 21.078778178538712
110, No Interference, 3, 0.03333333333333333, 0.9566666666666667, 17.29020172252091, 20.61192614908004
110, 3, 3, 0.03333333333333333, 0.9633333333333334, 21.274239773736884, 20.97619297972295
110, 5, 3, 0.016666666666666666, 0.9733333333333334, 22.360056153719896, 21.202486663828633
110, 12, 3, 0.03, 0.97, 22.94415412084125, 21.167521248534285
110, 20, 3, 0.04, 0.9566666666666667, 21.18645268056136, 21.093094850856122
110, 30, 3, 0.02, 0.98, 20.1768515805381, 20.903153053804797
666, No Interference, 3, 0.043333333333333335, 0.9466666666666667, 17.131065154839796, 20.6183743784088
666, 3, 3, 0.03333333333333333, 0.96, 21.420736284507402, 21.101824922326823
666, 5, 3, 0.013333333333333334, 0.9733333333333334, 22.360274505274294, 21.234460813176216
666, 12, 3, 0.01, 0.99, 22.804542750318024, 21.208082898743392
666, 20, 3, 0.03666666666666667, 0.9633333333333334, 21.10397338639063, 21.080935247458576
666, 30, 3, 0.02666666666666667, 0.97, 20.1929638887384, 21.120258878328414
72, No Interference, 3, 0.03, 0.9333333333333333, 16.95093559918054, 20.581588732212204
72, 3, 3, 0.023333333333333334, 0.97, 21.506762872294466, 21.138612096137763
72, 5, 3, 0.02, 0.9766666666666667, 22.315602284286847, 21.141869393415796
72, 12, 3, 0.03333333333333333, 0.9633333333333334, 22.83568336264688, 21.149936993353855
72, 20, 3, 0.04666666666666667, 0.9466666666666667, 21.10414818367459, 21.193850971618684
72, 30, 3, 0.02666666666666667, 0.9733333333333334, 20.12112535538699, 21.008767368931775
80, No Interference, 3, 0.03333333333333333, 0.9566666666666667, 17.070408228100717, 20.550659374459862
80, 3, 3, 0.02666666666666667, 0.9666666666666667, 21.375014943649024, 21.024621234512253
80, 5, 3, 0.03, 0.9566666666666667, 21.950704910504243, 21.06910029175274
80, 12, 3, 0.01, 0.9866666666666667, 23.03512308452255, 21.19477427293678
80, 20, 3, 0.03666666666666667, 0.9633333333333334, 21.23223639778629, 21.13182782972242
80, 30, 3, 0.016666666666666666, 0.9833333333333333, 20.304441537360848, 20.99280900777561
1067, No Interference, 3, 0.03333333333333333, 0.9466666666666667, 17.14577569953472, 20.623311134647945
1067, 3, 3, 0.03333333333333333, 0.9533333333333334, 21.258502524182575, 21.064886199724018
1067, 5, 3, 0.02, 0.98, 22.305815465004805, 21.158610145754174
1067, 12, 3, 0.04, 0.9533333333333334, 23.03042467172828, 21.19108169352899
1067, 20, 3, 0.03666666666666667, 0.96, 21.166289425515203, 21.043403989119383
1067, 30, 3, 0.03666666666666667, 0.96, 20.441531118062585, 20.997212479983943
1084, No Interference, 3, 0.05, 0.92, 17.312608127929174, 20.68666083591204
1084, 3, 3, 0.0033333333333333335, 0.99, 21.081394597508886, 21.00573937851857
1084, 5, 3, 0.016666666666666666, 0.97, 22.002177836286837, 21.101268978656943
1084, 12, 3, 0.03, 0.9666666666666667, 23.135385499893204, 21.206067658345884
1084, 20, 3, 0.043333333333333335, 0.9566666666666667, 21.1560024839424, 21.112326711948143
1084, 30, 3, 0.023333333333333334, 0.9766666666666667, 20.176030965195704, 21.12882407328663
115, No Interference, 3, 0.03333333333333333, 0.9566666666666667, 17.27229061677209, 20.545764388800656
115, 3, 3, 0.04, 0.9533333333333334, 21.392896873267006, 21.1034969629792
115, 5, 3, 0.02, 0.9666666666666667, 22.00786518133745, 21.115202856337817
115, 12, 3, 0.02, 0.9766666666666667, 22.95157510097766, 21.19859439738844
115, 20, 3, 0.023333333333333334, 0.9766666666666667, 21.15109057824318, 20.932330953912203
115, 30, 3, 0.03333333333333333, 0.9666666666666667, 19.874854745824702, 21.029381924544378
21, No Interference, 5, 0.03666666666666667, 0.94, 16.79561901892601, 20.526684647496626
21, 3, 5, 0.03666666666666667, 0.9533333333333334, 21.166335598345796, 20.899137464793593
21, 5, 5, 0.02666666666666667, 0.9666666666666667, 22.101922994326987, 21.156617455376146
21, 12, 5, 0.02, 0.9766666666666667, 22.893335061058234, 21.171563065762086
