model, dutycycle, num_HDV, crashrate, mergerate, ego_speed, network_speed
best, 3, 2, 0.0, 0.572, 24.779893002184124, 24.84524644936023
best, 3, 5, 0.003, 0.932, 26.30589004643097, 24.660967917680352
best, 3, 7, 0.008, 0.985, 25.441097745062237, 23.53615806786621
best, 3, 9, 0.009, 0.984, 24.59977771531384, 22.688189664815297
best, 3, 10, 0.012, 0.98, 24.204880618425175, 22.50809284383849
best, 3, 12, 0.017, 0.977, 23.489606499332183, 21.603705212039152
best, 3, 14, 0.014, 0.979, 23.07167275206918, 21.3678611558513
best, 3, 16, 0.026, 0.962, 21.873429612579713, 20.39776615815168
best, 5, 2, 0.0, 0.61, 25.19174878357746, 25.11624278237205
best, 5, 5, 0.003, 0.936, 26.308816756013893, 24.702438771613984
best, 5, 7, 0.009, 0.976, 25.36308261270504, 23.553715602930044
best, 5, 9, 0.013, 0.981, 24.77675545784321, 22.7943390471246
best, 5, 10, 0.007, 0.988, 24.333403317844894, 22.49100046982553
best, 5, 12, 0.016, 0.982, 23.552916706407714, 21.668557123045378
best, 5, 14, 0.02, 0.977, 23.16178228042729, 21.42120683950515
best, 5, 16, 0.02, 0.976, 21.896615083263647, 20.423387731162023
best, 12, 2, 0.0, 0.644, 25.660626631583582, 25.369094457197647
best, 12, 5, 0.001, 0.934, 26.367911059785687, 24.67109221520236
best, 12, 7, 0.008, 0.982, 25.526757557605787, 23.579142754630826
best, 12, 9, 0.012, 0.979, 24.834422791633703, 22.749854276038953
best, 12, 10, 0.01, 0.985, 24.354473787761467, 22.562930925541355
best, 12, 12, 0.022, 0.968, 23.616959956859674, 21.64354640022393
best, 12, 14, 0.02, 0.976, 23.214566155539817, 21.465968357227574
best, 12, 16, 0.031, 0.96, 21.947477816520056, 20.373139317355896
best, 15, 2, 0.0, 0.653, 25.833605662492158, 25.45059335883736
best, 15, 5, 0.005, 0.944, 26.501845080161093, 24.747620245102077
best, 15, 7, 0.009, 0.981, 25.485585039690058, 23.54061731816555
best, 15, 9, 0.013, 0.973, 24.891888478115717, 22.764036751009698
best, 15, 10, 0.016, 0.978, 24.251261453124396, 22.510000141812352
best, 15, 12, 0.012, 0.982, 23.61003344719048, 21.711394083385628
best, 15, 14, 0.024, 0.969, 23.161987467223856, 21.46080052000027
best, 15, 16, 0.033, 0.954, 22.093242190187098, 20.3899173460514
best, 20, 2, 0.0, 0.692, 26.269683790763885, 25.67033446860181
best, 20, 5, 0.008, 0.941, 26.54385568256129, 24.79441419890614
best, 20, 7, 0.009, 0.982, 25.540624752900218, 23.54292026912249
best, 20, 9, 0.017, 0.972, 24.796800409404366, 22.782420896228626
best, 20, 10, 0.016, 0.977, 24.366046551577256, 22.48613122109417
best, 20, 12, 0.023, 0.972, 23.544944482441963, 21.635112197426416
best, 20, 14, 0.02, 0.973, 23.18762731210637, 21.421592493074787
best, 20, 16, 0.04, 0.945, 22.115507969343685, 20.45961014897757
best, 30, 2, 0.0, 0.804, 27.31118520788331, 26.37550111729956
best, 30, 5, 0.01, 0.95, 26.68464664289792, 24.72508867019818
best, 30, 7, 0.013, 0.968, 25.50893040937245, 23.585220939273203
best, 30, 9, 0.021, 0.967, 24.683706013273305, 22.711610906275293
best, 30, 10, 0.04, 0.951, 24.251776040197786, 22.467482670439626
best, 30, 12, 0.032, 0.96, 23.586706784025935, 21.655215336857115
best, 30, 14, 0.037, 0.953, 23.10663413143269, 21.424149392020432
best, 30, 16, 0.062, 0.923, 22.17445084169366, 20.463793373245743
best, 40, 2, 0.0, 0.821, 27.517896909410027, 26.47664573742834
best, 40, 5, 0.012, 0.953, 26.69048456543113, 24.78950828139455
best, 40, 7, 0.017, 0.97, 25.45993310358328, 23.571029218826187
best, 40, 9, 0.037, 0.953, 24.65914578151242, 22.698438413705624
best, 40, 10, 0.045, 0.942, 24.312613874396646, 22.460799105858985
best, 40, 12, 0.06, 0.917, 23.499059172402685, 21.66656662134759
best, 40, 14, 0.055, 0.935, 23.324978025715062, 21.51136517183997
best, 40, 16, 0.076, 0.903, 22.08625555714527, 20.483798401605018
best, 50, 2, 0.0, 0.845, 27.8555707121657, 26.694300932482925
best, 50, 5, 0.019, 0.945, 26.646648988871213, 24.75253095779499
best, 50, 7, 0.039, 0.939, 25.32107313756796, 23.509299523627735
best, 50, 9, 0.053, 0.931, 24.661608291541267, 22.83602888283651
best, 50, 10, 0.049, 0.939, 24.266969005521258, 22.51758646447616
best, 50, 12, 0.057, 0.915, 23.609351922918478, 21.627324795265142
best, 50, 14, 0.073, 0.914, 23.16290828207033, 21.48028542927222
best, 50, 16, 0.107, 0.875, 22.106276750765225, 20.53355811960282
