seed,merge_length,crashrate,mergerate,ego speed,network speed
73, 40, 0.051, 0.883, 23.126819057827145, 22.081757285970678
73, 60, 0.027, 0.958, 22.96582312213679, 21.57351797795876
73, 80, 0.032, 0.959, 22.728893703387616, 21.06762167619964
73, 100, 0.023, 0.97, 22.510343965719887, 20.866480575136073
73, 120, 0.02, 0.97, 22.041186335797416, 20.6582671903178
73, 140, 0.021, 0.97, 21.50204254252376, 20.538392837588322
73, 160, 0.037, 0.963, 21.287375760010594, 20.58652513274628
73, 20, 0.004, 0.008, 22.41636156125142, 22.739541903810892
73, 180, 0.023, 0.971, 21.28680582514668, 20.744118986331166
73, 200, 0.024, 0.972, 21.048743380824792, 20.832799757411497
