seed,right_bias,crashrate,mergerate,ego_speed,road_speed
73, 1.0, 0.021, 0.975, 23.032292618382737, 21.348540186429382
73, 3.0, 0.036, 0.962, 23.008576477689047, 21.326037604431058
73, 5.0, 0.024, 0.969, 22.898176995466525, 21.208461731329713
73, 8.0, 0.032, 0.959, 22.728893703387616, 21.06762167619964
73, 10.0, 0.027, 0.961, 22.86301006578555, 21.16142526851492
73, 15.0, 0.023, 0.966, 22.987010341400072, 21.094542319299308
73, 20.0, 0.027, 0.963, 22.85722970994438, 21.08294969432593
73, 25.0, 0.039, 0.952, 22.989962924672053, 21.096890105545924
73, 50.0, 0.033, 0.957, 22.909286238805215, 20.92780375815316
73, 100.0, 0.032, 0.959, 22.798126354594853, 20.757252340626643
